alpha_id,source,source_url,category,title,description,actionable_steps,effort_level,roi_potential,risk_level,applies_to_niches,status,reviewed_date,reviewer_notes
ALPHA220,Search Engine Journal,https://searchenginejournal.com,SEO_GEO_ASO,Google E-E-A-T 2026 Priority,"Experience added to E-A-T in 2022, now critical for YMYL content. First-hand experience signals: author bylines, credentials, real photos, specific anecdotes, detailed process descriptions.",1. Add author bio with credentials to all content 2. Include first-person experience 3. Add specific numbers/dates from personal use 4. Include real photos not stock 5. Link to author social profiles,MEDIUM,HIGH,LOW,ALL,PENDING_REVIEW,,SEO foundation for content credibility
ALPHA221,Ahrefs Research,https://ahrefs.com/blog,SEO_GEO_ASO,Zero-Click Search Dominance 2026,"60%+ of Google searches now zero-click (featured snippets, AI overviews). Optimize for position zero not just #1. Answer boxes drive brand awareness even without clicks.",1. Structure content for featured snippets 2. Use definition format in first 100 words 3. Add tables for comparison content 4. Use numbered/bulleted lists 5. Include FAQ schema,LOW,HIGH,LOW,ALL,PENDING_REVIEW,,Featured snippets critical for visibility
ALPHA222,Google Search Central,https://developers.google.com/search,SEO_GEO_ASO,Core Web Vitals 2026 Thresholds,"LCP <2.5s, FID <100ms, CLS <0.1 remain ranking factors. New: INP (Interaction to Next Paint) replaces FID in March 2024. Mobile-first indexing is default.",1. Audit Core Web Vitals monthly 2. Optimize images with WebP/AVIF 3. Implement lazy loading 4. Monitor INP for interactions 5. Test on real mobile devices,HIGH,HIGH,LOW,ALL,PENDING_REVIEW,,Performance baseline for ranking
ALPHA223,Perplexity Labs,https://blog.perplexity.ai,SEO_GEO_ASO,GEO Citation Patterns 2026,"AI engines cite sources with: clear structure, authoritative data, recent updates, cited sources. Perplexity favors technical depth over SEO keywords. ChatGPT favors conversational confidence.",1. Add dates to all content 2. Cite 3-5 authoritative sources per article 3. Use tables for data 4. Update content quarterly 5. Add 'Last updated' timestamp,MEDIUM,HIGHEST,LOW,ALL,PENDING_REVIEW,,Critical for AI discovery
ALPHA224,AppTweak,https://apptweak.com,SEO_GEO_ASO,App Store Voice Search Optimization,"Siri/Google Assistant queries use natural language. 'Hey Siri apps for prayer' vs searching 'prayer app'. Optimize for conversational long-tail keywords in metadata.",1. Add conversational phrases to app description 2. Include question-based keywords 3. Test voice search queries 4. Use natural language in subtitle 5. Add voice-friendly FAQ,MEDIUM,MEDIUM,LOW,ALL,PENDING_REVIEW,,Future-proofing ASO for voice
ALPHA225,Mobile Action,https://mobileaction.co,SEO_GEO_ASO,App Store Screenshot Text Indexed,"iOS App Store OCR scans screenshot text for keyword indexing. Text overlay on screenshots contributes to keyword relevance. Strategic use boosts ranking.",1. Add keyword-rich text to first 2 screenshots 2. Make text readable at thumbnail size 3. Include primary keyword in screenshot 1 4. Test keyword ranking with/without 5. Don't keyword stuff readability matters,LOW,HIGH,LOW,ALL,PENDING_REVIEW,,Quick ASO win
ALPHA226,Search Engine Land,https://searchengineland.com,SEO_GEO_ASO,Helpful Content Update Ongoing,"Google's helpful content system is continuous not one-time. People-first content over SEO-first. Signals: satisfies intent, demonstrates expertise, original insights, leaves reader satisfied.",1. Audit content for thin pages 2. Add original research/data 3. Remove AI-generated fluff 4. Add author expertise signals 5. Track user engagement metrics,MEDIUM,HIGHEST,LOW,ALL,PENDING_REVIEW,,Content quality is ranking factor
ALPHA227,Backlinko,https://backlinko.com,SEO_GEO_ASO,Video SEO Dominance 2026,"Video results appear in 70%+ of Google SERPs. YouTube is 2nd largest search engine. Video thumbnails in search results get 41% higher CTR. Transcripts boost indexing.",1. Create YouTube video for every blog post 2. Add video schema to pages 3. Optimize YouTube SEO (title/description/tags) 4. Add transcript to page 5. Embed video above fold,HIGH,HIGHEST,LOW,ALL,PENDING_REVIEW,,Video content multiplier
ALPHA228,Moz,https://moz.com,SEO_GEO_ASO,Topic Clusters Over Keywords 2026,"Pillar page + cluster content outranks single keyword pages. Internal linking structure shows topic authority. Create hub-and-spoke model for each niche.",1. Create pillar page for main topic 2. Write 10+ cluster articles linking to pillar 3. Interlink all cluster content 4. Use descriptive anchor text 5. Update pillar page with cluster links,HIGH,HIGHEST,LOW,ALL,PENDING_REVIEW,,Content architecture strategy
ALPHA229,App Radar,https://appradar.com,SEO_GEO_ASO,Custom Product Pages iOS 15+,"iOS allows up to 35 custom product pages to test different audiences/keywords. Create variations for different use cases. Winner can become default.",1. Create 3-5 custom product pages 2. Target different keywords per page 3. Use unique screenshots/copy 4. Run paid ads to custom pages 5. Promote winner to default,MEDIUM,HIGH,LOW,ALL,PENDING_REVIEW,,Advanced ASO testing
ALPHA230,StoreMaven,https://storemaven.com,SEO_GEO_ASO,First 2 Seconds App Store CVR,"Users decide to download within 2 seconds of seeing listing. Icon and first screenshot are everything. 70% of users never scroll past screenshot 2.",1. A/B test icon weekly 2. Put core value in screenshot 1 3. Use benefit-driven text overlay 4. Test with 5-second test 5. Heatmap icon in search results,LOW,HIGHEST,LOW,ALL,PENDING_REVIEW,,Critical CVR optimization
ALPHA231,SearchPilot,https://searchpilot.com,SEO_GEO_ASO,Programmatic SEO 2026 Patterns,"Auto-generate 1000s of pages from data. Works for: comparison pages, location pages, product variations. Zapier has 25k+ programmatic pages. Requires unique value per page.",1. Identify data source (CSV/API) 2. Create template with unique content 3. Add user-generated content section 4. Implement filters/sorting 5. Submit to Search Console,HIGH,HIGHEST,MEDIUM,ALL,PENDING_REVIEW,,Scale SEO with automation
ALPHA232,Google Developers,https://developers.google.com,SEO_GEO_ASO,Mobile-First Indexing Mandatory,"Google only uses mobile version for indexing/ranking. Desktop-only content is invisible. Mobile site speed critical. Responsive design is minimum requirement.",1. Audit mobile experience 2. Check mobile PageSpeed score 3. Test mobile-first features 4. Ensure all content on mobile 5. Optimize for thumb-friendly navigation,MEDIUM,HIGH,LOW,ALL,PENDING_REVIEW,,Foundation requirement
ALPHA233,Sensor Tower,https://sensortower.com,SEO_GEO_ASO,App Category Optimization Strategy,"Choose category based on competition not just fit. Rank #10 in less competitive category beats #100 in obvious category. Subcategory matters for visibility.",1. Research competitor categories 2. Analyze top 10 difficulty per category 3. Test secondary categories 4. Monitor ranking by category 5. Switch if not ranking top 50,LOW,HIGH,LOW,ALL,PENDING_REVIEW,,ASO category strategy
ALPHA234,LinkResearchTools,https://linkresearchtools.com,SEO_GEO_ASO,Link Velocity 2026 Signals,"Natural link growth is steady not spiky. Sudden backlink spikes trigger spam filters. Aim for consistent link building month over month. Quality > quantity.",1. Build 5-10 links per month consistently 2. Vary anchor text naturally 3. Focus on relevant sites 4. Track link velocity in GSC 5. Avoid link farms,MEDIUM,HIGH,MEDIUM,ALL,PENDING_REVIEW,,Link building best practice
ALPHA235,BrightLocal,https://brightlocal.com,SEO_GEO_ASO,Local SEO for Apps 2026,"Apps serving local markets: optimize for 'near me' searches, add location to app name, create location-specific screenshots. Google prioritizes local relevance.",1. Add city to app subtitle if local 2. Create location landing pages 3. Optimize for '[category] near me' 4. Add location schema 5. Build local backlinks,MEDIUM,MEDIUM,LOW,ALL,PENDING_REVIEW,,Local optimization tactic
