tool_id,tool_name,category,sub_category,free_tier,free_tier_detail,paid_from,status,priority,budget_tier,venture_fit,url,notes
T001,Dolphin{anty},anti_detect,browser,YES,10 profiles forever,$89/mo,ACTIVE,HIGHEST,$0,ALL,dolphin-anty.com,Tier 0 default. 3.3x more free profiles than GoLogin.
T002,Incogniton,anti_detect,browser,YES,10 profiles forever,$30/mo,AVAILABLE,HIGH,$0,ALL,incogniton.com,Same free profiles as Dolphin. Cheaper paid tier.
T003,GoLogin,anti_detect,browser,YES,3 profiles forever,$49/mo,AVAILABLE,MEDIUM,$0,ALL,gologin.com,Better UX but fewer free profiles. Demoted from Tier 0.
T004,Multilogin,anti_detect,browser,NO,None,$99/mo,AVAILABLE,LOW,$500,ALL,multilogin.com,Enterprise only. $10K+ MRR.
T005,AdsPower,anti_detect,browser,YES,2 profiles,$9/mo,AVAILABLE,LOW,$50,ALL,adspower.com,Too few free profiles.
T006,Geelark,anti_detect,mobile,YES,2 cloud phone profiles,Paid,AVAILABLE,MEDIUM,$0,AI_PERSONAS,geelark.com,Only cloud phone emulator with free tier. Mobile fingerprints.
T007,Soax Mobile,proxies,mobile,NO,None,$50/mo,ACTIVE,HIGHEST,$50,ALL,soax.com,Required for IG/TikTok account safety. Mobile fingerprints.
T008,Webshare,proxies,datacenter,YES,10 datacenter IPs free,$5/GB,AVAILABLE,HIGH,$0,ALL,webshare.io,Free for non-social scraping. Existing docs missed free tier.
T009,Bright Data,proxies,residential,YES,15 IPs + 2GB/mo free,$15/GB,AVAILABLE,HIGH,$0,ALL,brightdata.com,Enterprise quality at $0 for testing.
T010,Oxylabs,proxies,residential,YES,5 IPs + 5GB/mo free,$15/GB,AVAILABLE,MEDIUM,$0,ALL,oxylabs.io,5GB free is generous for early-stage.
T011,Geonode,proxies,public,YES,Free public proxy list,N/A,AVAILABLE,LOW,$0,ALL,geonode.com,Low quality. Non-critical use only.
T012,Decodo/Smartproxy,proxies,residential,NO,None,$12.50/GB,AVAILABLE,HIGH,$150,ALL,smartproxy.com,Scale tier default.
T013,IPRoyal,proxies,residential,NO,None,$7/GB,AVAILABLE,MEDIUM,$150,ALL,iproyal.com,Budget residential alt.
T014,TrulyInbox,email,warmup,YES,Free forever unlimited,N/A,ACTIVE,HIGHEST,$0,COLD_OUTBOUND,trulyinbox.com,Only free-forever warmup. Disproves must-buy claim.
T015,Lemwarm,email,warmup,YES,14-day trial,$29/mo,AVAILABLE,MEDIUM,$150,COLD_OUTBOUND,lemwarm.com,Trial only. Lemlist network.
T016,Warmup Inbox,email,warmup,YES,7-day trial,$9/mo,AVAILABLE,LOW,$150,COLD_OUTBOUND,warmupinbox.com,Short trial.
T017,Instantly,email,cold_email,YES,14-day trial,$37/mo,AVAILABLE,HIGH,$150,COLD_OUTBOUND,instantly.ai,Built-in warmup. Good UI. Beginner pick.
T018,Smartlead,email,cold_email,NO,None,$39/mo,AVAILABLE,HIGH,$150,COLD_OUTBOUND,smartlead.ai,Better at scale.
T019,EmailBison,email,cold_email,NO,None,$39/mo,AVAILABLE,MEDIUM,$150,COLD_OUTBOUND,emailbison.com,API access. Budget option.
T020,DeliverOn,email,pre_warmed,NO,None,$49/mo,AVAILABLE,HIGH,$150,COLD_OUTBOUND,deliveron.com,Skip 14-21 day warmup period.
T021,Google Workspace,email,provider,NO,None,$6/user/mo,ACTIVE,HIGHEST,$150,ALL,workspace.google.com,Best deliverability.
T022,Buffer,social,scheduling,YES,3 channels free,$6/mo,ACTIVE,HIGHEST,$0,ALL,buffer.com,Tier 0 default. Multi-platform.
T023,Tweetlio,social,scheduling,YES,Free plan,$12/mo,AVAILABLE,HIGH,$0,CONTENT_MEDIA,tweetlio.com,Free plan not in old docs. X/Twitter focused.
T024,Publer,social,scheduling,YES,3-5 accounts free,$12/mo,AVAILABLE,HIGH,$50,ALL,publer.io,Best value upgrade from Buffer.
T025,Hypefury,social,scheduling,YES,7-day trial only,$19/mo,AVAILABLE,MEDIUM,$150,CONTENT_MEDIA,hypefury.com,No permanent free tier. Demoted vs Tweetlio.
T026,Canva,content,design,YES,2.1M templates free,$13/mo,ACTIVE,HIGHEST,$0,ALL,canva.com,Everything design. Tier 0 default.
T027,CapCut,content,video_editing,YES,Full features free,N/A,ACTIVE,HIGHEST,$0,CONTENT_MEDIA,capcut.com,Complete editing suite at $0.
T028,Leonardo.ai,content,ai_images,YES,150 tokens/day,$12/mo,ACTIVE,HIGH,$0,AI_PERSONAS,leonardo.ai,Best free AI image tier.
T029,Ideogram,content,ai_images,YES,10/day,$7/mo,AVAILABLE,MEDIUM,$0,CONTENT_MEDIA,ideogram.ai,Best for text-in-images.
T030,ElevenLabs,content,ai_voice,YES,10K chars/mo,$5/mo,ACTIVE,HIGH,$0,ALL,elevenlabs.io,Best quality. MCP integration.
T031,Kling,content,ai_video,YES,66 credits/day,$5/mo,ACTIVE,HIGH,$0,CONTENT_MEDIA,kling.ai,Best free AI video.
T032,Photopea,content,photo_editing,YES,Completely free,N/A,AVAILABLE,HIGH,$0,ALL,photopea.com,Browser-based Photoshop alternative. $0 forever.
T033,Figma,content,ui_design,YES,Free Starter plan,$15/mo,AVAILABLE,MEDIUM,$0,APPS_SOFTWARE,figma.com,Industry standard UI/UX.
T034,Penpot,content,ui_design,YES,Open source fully free,N/A,AVAILABLE,MEDIUM,$0,APPS_SOFTWARE,penpot.app,Self-hostable Figma alternative.
T035,Coolors,content,color,YES,Free palette generation,$3/mo,AVAILABLE,LOW,$0,ALL,coolors.co,Quick brand color palettes.
T036,Beehiiv,newsletter,platform,YES,2500 subs free,$49/mo,ACTIVE,HIGHEST,$0,ALL,beehiiv.com,Best growth tools. Referrals + recommendations.
T037,Kit/ConvertKit,newsletter,platform,YES,10K subs + unlimited landing pages,$29/mo,AVAILABLE,HIGHEST,$0,ALL,kit.com,4x Beehiiv free tier. Rebranded to Kit.
T038,Substack,newsletter,platform,YES,Unlimited free,10% of paid,AVAILABLE,HIGH,$0,ALL,substack.com,Zero friction. Discovery network.
T039,Mailchimp,newsletter,platform,YES,500 subs free,$13/mo,AVAILABLE,LOW,$0,ALL,mailchimp.com,Smallest free tier. Not recommended.
T040,Systeme.io,funnels,all_in_one,YES,2K contacts + funnels + courses + domain FREE,$27/mo,AVAILABLE,HIGHEST,$0,INFO_EDUCATION,systeme.io,Replaces 3-4 tools for non-tech. All-in-one.
T041,Carrd,funnels,landing_pages,YES,3 sites free,$19/yr,AVAILABLE,HIGH,$0,ALL,carrd.co,Simple one-pagers. No-code MVPs.
T042,Vercel,hosting,frontend,YES,100GB/mo free,$20/mo,ACTIVE,HIGH,$0,APPS_SOFTWARE,vercel.com,Next.js default host.
T043,Cloudflare Pages,hosting,static,YES,Unlimited free,$20/mo Pro,ACTIVE,MEDIUM,$0,ALL,pages.cloudflare.com,Static sites. Free DNS.
T044,Oracle Cloud,hosting,vps,YES,4 cores 24GB RAM free,N/A,AVAILABLE,HIGHEST,$0,ALL,cloud.oracle.com,Best free VPS. Limited availability.
T045,Hetzner,hosting,vps,NO,None,$4/mo,AVAILABLE,HIGH,$50,ALL,hetzner.com,Fallback if Oracle unavailable.
T046,Porkbun,hosting,domains,NO,N/A,$9.73/yr per .com,ACTIVE,HIGHEST,$0,ALL,porkbun.com,Cheapest registrar.
T047,Dokploy/Coolify,hosting,paas,YES,Free,$0,AVAILABLE,MEDIUM,$0,ALL,dokploy.io,One-click deploys on VPS.
T048,GA4,analytics,web,YES,Unlimited free,N/A,ACTIVE,HIGHEST,$0,ALL,analytics.google.com,Standard web analytics.
T049,PostHog,analytics,product,YES,1M events/mo free,$0 self-host,ACTIVE,HIGH,$0,APPS_SOFTWARE,posthog.com,Self-host on Oracle VPS.
T050,Plausible CE,analytics,privacy,YES,Self-host free,$9/mo cloud,AVAILABLE,HIGH,$0,ALL,plausible.io,GDPR-friendly. Privacy-first.
T051,Mixpanel,analytics,events,YES,20M events/mo free,$25/mo,AVAILABLE,MEDIUM,$0,APPS_SOFTWARE,mixpanel.com,Most generous event-based free tier.
T052,AccsMarket,accounts,marketplace,NO,N/A,$0.20-80/acct,AVAILABLE,HIGHEST,$50,ALL,accsmarket.com,Best reputation for pre-warmed accounts.
T053,FameSwap,accounts,marketplace,NO,N/A,$100-10K+,AVAILABLE,HIGH,$150,CONTENT_MEDIA,fameswap.com,Verified followers. IG/TikTok/YT.
T054,SWAPD,accounts,marketplace,NO,N/A,$500-50K+,AVAILABLE,LOW,$500,ALL,swapd.co,Premium/verified. High-end only.
T055,PlayerUp,accounts,marketplace,NO,N/A,$20-500,AVAILABLE,LOW,$150,ALL,playerup.com,Gaming/social. Mixed quality.
T056,Gumroad,monetization,products,YES,Free until sale (10% fee),N/A,ACTIVE,HIGHEST,$0,ALL,gumroad.com,Digital products. No upfront cost.
T057,Whop,monetization,products,YES,Free until sale,N/A,AVAILABLE,HIGH,$0,ALL,whop.com,Alt digital products platform.
T058,n8n,automation,workflow,YES,Self-host free,$20/mo cloud,AVAILABLE,HIGH,$0,ALL,n8n.io,Workflow automation on Oracle VPS.
T059,HubSpot,crm,contacts,YES,Unlimited contacts free,$50/mo,AVAILABLE,HIGH,$0,COLD_OUTBOUND,hubspot.com,Free CRM. Contact management.
T060,Expandi,linkedin,automation,NO,None,$99/mo,AVAILABLE,HIGH,$500,COLD_OUTBOUND,expandi.io,Safest cloud LinkedIn automation.
T061,Apollo,leads,data,YES,Limited free,$79/mo Pro,AVAILABLE,HIGH,$500,COLD_OUTBOUND,apollo.io,Verified B2B emails.
T062,D-ID,content,ai_video,YES,5 min/mo free,$16/mo,AVAILABLE,MEDIUM,$150,AI_PERSONAS,d-id.com,AI talking head videos. UGC factory.
T063,HeyGen,content,ai_video,YES,1 credit free,$29/mo,AVAILABLE,MEDIUM,$150,AI_PERSONAS,heygen.com,AI avatar video generation.
T064,Veo 2,content,ai_video,YES,Limited free via Google,N/A,AVAILABLE,MEDIUM,$0,CONTENT_MEDIA,deepmind.google,Google AI video gen. Via AI Studio.
T065,Runway,content,ai_video,NO,None,$15/mo,AVAILABLE,MEDIUM,$150,CONTENT_MEDIA,runwayml.com,Gen-3 Alpha. Pro video AI.
T066,Suno,content,ai_music,YES,50 credits/day,$10/mo,AVAILABLE,HIGH,$0,CONTENT_MEDIA,suno.com,AI music generation. Spotify/TikTok distribution.
T067,DistroKid,content,music_distribution,NO,None,$22.99/yr,AVAILABLE,HIGH,$50,CONTENT_MEDIA,distrokid.com,Music distribution to all platforms.
T068,Clay,leads,enrichment,NO,None,$149/mo,AVAILABLE,HIGH,$500,COLD_OUTBOUND,clay.com,Lead enrichment + waterfall. Scale tier.
T069,RevenueCat,monetization,subscriptions,YES,Free to $2.5K MRR,$0,AVAILABLE,HIGHEST,$0,APPS_SOFTWARE,revenuecat.com,IAP/subscription management. Free until $2.5K MRR.
T070,SMSPool,accounts,phone_verify,NO,N/A,$0.10-3/verify,AVAILABLE,HIGH,$50,ALL,smspool.net,Phone verification for account creation.
T071,OnlineJobs.ph,hiring,va,NO,N/A,$69/mo,AVAILABLE,MEDIUM,$150,ALL,onlinejobs.ph,Filipino VA hiring. Cold calling + admin.
T072,Fiverr,hiring,freelance,YES,Free to browse,N/A,AVAILABLE,MEDIUM,$0,ALL,fiverr.com,Freelance marketplace. UGC + VA + dev.
T073,Skool,community,platform,NO,None,$99/mo,AVAILABLE,MEDIUM,$150,INFO_EDUCATION,skool.com,Community + course platform. High-ticket upsell.
T074,Meta Ads,ads,paid,NO,None,$100+/mo,AVAILABLE,HIGH,$500,ALL,business.facebook.com,FB/IG paid ads. $100 test budget.
T075,TikTok Ads,ads,paid,NO,None,$100+/mo,AVAILABLE,HIGH,$500,CONTENT_MEDIA,ads.tiktok.com,TikTok paid ads. $100 test budget.
T076,Apple Developer,accounts,dev,NO,N/A,$99/yr,AVAILABLE,HIGHEST,$50,APPS_SOFTWARE,developer.apple.com,iOS app publishing.
T077,Google Play Dev,accounts,dev,NO,N/A,$25 one-time,AVAILABLE,HIGHEST,$50,APPS_SOFTWARE,play.google.com/console,Android app publishing.
T078,Stripe,monetization,payments,YES,Free until sale (2.9% + $0.30),N/A,ACTIVE,HIGHEST,$0,ALL,stripe.com,Payment processing. Required for most revenue.
T079,MediaMister,growth,engagement,NO,N/A,$2-50/order,AVAILABLE,MEDIUM,$50,CONTENT_MEDIA,mediamister.com,Paid engagement. Algorithm trigger.
T080,Growthoid,growth,engagement,NO,N/A,$49-99/mo,AVAILABLE,LOW,$150,CONTENT_MEDIA,growthoid.com,IG growth service. Organic targeting.
T081,Notion,productivity,docs,YES,Free personal,$10/mo,ACTIVE,HIGH,$0,ALL,notion.so,Docs + wikis + templates. Digital product base.
T082,Dripify,linkedin,automation,NO,None,$59/mo,AVAILABLE,MEDIUM,$500,COLD_OUTBOUND,dripify.io,LinkedIn automation alt. Cheaper than Expandi.
T083,Loom,content,video,YES,25 videos free,$15/mo,AVAILABLE,MEDIUM,$0,ALL,loom.com,Screen recording. Sales + support.
T084,Browserless,automation,browser,YES,6 hours/mo free,$50/mo,AVAILABLE,MEDIUM,$50,ALL,browserless.io,Headless Chrome API. Scraping at scale.
