synergy_id,method_1,method_2,synergy_score,synergy_type,revenue_multiplier,implementation_notes,example_stack,priority
SYN001,MM001,AI005,95,Build app + influencer promo + info product + clipper network,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization",,HIGH
SYN002,MM001,CF007,95,Build app + influencer promo + info product + clipper network,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization",,HIGH
SYN003,MM001,MM002,95,Build app + influencer promo + info product + clipper network,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization",,HIGH
SYN004,MM001,MM009,95,Build app + influencer promo + info product + clipper network,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization",,HIGH
SYN005,MM001,MM017,95,Build app + influencer promo + info product + clipper network,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization",,HIGH
SYN006,MM001,MM019,95,Build app + influencer promo + info product + clipper network,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization",,HIGH
SYN007,MM002,AI001,90,Expert persona + content + outbound + newsletter,2.2,"Stack: Niche expert account builds authority, sells courses",,HIGH
SYN008,MM002,MM006,90,Expert persona + content + outbound + newsletter,2.2,"Stack: Niche expert account builds authority, sells courses",,HIGH
SYN009,MM002,MM007,90,Expert persona + content + outbound + newsletter,2.2,"Stack: Niche expert account builds authority, sells courses",,HIGH
SYN010,MM002,MM015,90,Expert persona + content + outbound + newsletter,2.2,"Stack: Niche expert account builds authority, sells courses",,HIGH
SYN011,MM002,MM030,90,Expert persona + content + outbound + newsletter,2.2,"Stack: Niche expert account builds authority, sells courses",,HIGH
SYN012,MM003,CF008,85,Finance/tech content + SEO + products + newsletter + Pinterest,2.0,"Stack: SEO content drives affiliate, course converts warmest leads",,MEDIUM
SYN013,MM003,CF009,85,Finance/tech content + SEO + products + newsletter + Pinterest,2.0,"Stack: SEO content drives affiliate, course converts warmest leads",,MEDIUM
SYN014,MM003,MM002,85,Finance/tech content + SEO + products + newsletter + Pinterest,2.0,"Stack: SEO content drives affiliate, course converts warmest leads",,MEDIUM
SYN015,MM003,MM015,85,Finance/tech content + SEO + products + newsletter + Pinterest,2.0,"Stack: SEO content drives affiliate, course converts warmest leads",,MEDIUM
SYN016,MM003,MM038,85,Finance/tech content + SEO + products + newsletter + Pinterest,2.0,"Stack: SEO content drives affiliate, course converts warmest leads",,MEDIUM
SYN017,MM004,MM007,80,Cold outbound + expert positioning + tech content + AI wrappers,1.8,"Stack: Expert content builds trust, outbound closes deals",,MEDIUM
SYN018,MM004,AI001,80,Cold outbound + expert positioning + tech content + AI wrappers,1.8,"Stack: Expert content builds trust, outbound closes deals",,MEDIUM
SYN019,MM004,CF009,80,Cold outbound + expert positioning + tech content + AI wrappers,1.8,"Stack: Expert content builds trust, outbound closes deals",,MEDIUM
SYN020,MM004,MM027,80,Cold outbound + expert positioning + tech content + AI wrappers,1.8,"Stack: Expert content builds trust, outbound closes deals",,MEDIUM
SYN021,MM004,MM028,80,Cold outbound + expert positioning + tech content + AI wrappers,1.8,"Stack: Expert content builds trust, outbound closes deals",,MEDIUM
SYN022,MM005,AI001,85,Expert account + UGC sourcing + outbound + local lead gen + white label,2.0,"Stack: Niche expert shows portfolio, outbound generates leads",,MEDIUM
SYN023,MM005,MM008,85,Expert account + UGC sourcing + outbound + local lead gen + white label,2.0,"Stack: Niche expert shows portfolio, outbound generates leads",,MEDIUM
SYN024,MM005,MM007,85,Expert account + UGC sourcing + outbound + local lead gen + white label,2.0,"Stack: Niche expert shows portfolio, outbound generates leads",,MEDIUM
SYN025,MM005,MM029,85,Expert account + UGC sourcing + outbound + local lead gen + white label,2.0,"Stack: Niche expert shows portfolio, outbound generates leads",,MEDIUM
SYN026,MM005,MM033,85,Expert account + UGC sourcing + outbound + local lead gen + white label,2.0,"Stack: Niche expert shows portfolio, outbound generates leads",,MEDIUM
SYN027,MM006,CF001-CF013,95,All content sub-methods + AI personas + YouTube,2.3,Stack: Content accounts drive traffic to monetization methods,,HIGH
SYN028,MM006,MM009,95,All content sub-methods + AI personas + YouTube,2.3,Stack: Content accounts drive traffic to monetization methods,,HIGH
SYN029,MM006,MM014,95,All content sub-methods + AI personas + YouTube,2.3,Stack: Content accounts drive traffic to monetization methods,,HIGH
SYN030,MM006,MM035,95,All content sub-methods + AI personas + YouTube,2.3,Stack: Content accounts drive traffic to monetization methods,,HIGH
SYN031,MM006,MM039,95,All content sub-methods + AI personas + YouTube,2.3,Stack: Content accounts drive traffic to monetization methods,,HIGH
SYN032,MM007,MM004,90,SaaS/agency sales + expert positioning + newsletter + local lead gen,2.1,"Stack: Expert account warms leads, outbound converts",,HIGH
SYN033,MM007,MM005,90,SaaS/agency sales + expert positioning + newsletter + local lead gen,2.1,"Stack: Expert account warms leads, outbound converts",,HIGH
SYN034,MM007,AI001,90,SaaS/agency sales + expert positioning + newsletter + local lead gen,2.1,"Stack: Expert account warms leads, outbound converts",,HIGH
SYN035,MM007,MM015,90,SaaS/agency sales + expert positioning + newsletter + local lead gen,2.1,"Stack: Expert account warms leads, outbound converts",,HIGH
SYN036,MM007,MM029,90,SaaS/agency sales + expert positioning + newsletter + local lead gen,2.1,"Stack: Expert account warms leads, outbound converts",,HIGH
SYN037,MM008,MM005,80,Agency fulfillment + lifestyle content + TikTok Shop + POD,1.7,Stack: Cheap UGC sourcing supplies agency work,,MEDIUM
SYN038,MM008,AI006,80,Agency fulfillment + lifestyle content + TikTok Shop + POD,1.7,Stack: Cheap UGC sourcing supplies agency work,,MEDIUM
SYN039,MM008,CF005,80,Agency fulfillment + lifestyle content + TikTok Shop + POD,1.7,Stack: Cheap UGC sourcing supplies agency work,,MEDIUM
SYN040,MM008,MM016,80,Agency fulfillment + lifestyle content + TikTok Shop + POD,1.7,Stack: Cheap UGC sourcing supplies agency work,,MEDIUM
SYN041,MM008,MM024,80,Agency fulfillment + lifestyle content + TikTok Shop + POD,1.7,Stack: Cheap UGC sourcing supplies agency work,,MEDIUM
SYN042,MM009,AI001-AI008,95,All AI personas + content + info products + TikTok Shop + X monetization,2.5,"Stack: AI persona builds audience, monetizes via products",,HIGH
SYN043,MM009,MM006,95,All AI personas + content + info products + TikTok Shop + X monetization,2.5,"Stack: AI persona builds audience, monetizes via products",,HIGH
SYN044,MM009,MM002,95,All AI personas + content + info products + TikTok Shop + X monetization,2.5,"Stack: AI persona builds audience, monetizes via products",,HIGH
SYN045,MM009,MM016,95,All AI personas + content + info products + TikTok Shop + X monetization,2.5,"Stack: AI persona builds audience, monetizes via products",,HIGH
SYN046,MM009,MM040,95,All AI personas + content + info products + TikTok Shop + X monetization,2.5,"Stack: AI persona builds audience, monetizes via products",,HIGH
SYN047,MM010,CF006,90,Clip channels + meme accounts + content + TikTok creativity + Shorts,2.2,"Stack: Clips drive views, memes expand reach",,HIGH
SYN048,MM010,CF004,90,Clip channels + meme accounts + content + TikTok creativity + Shorts,2.2,"Stack: Clips drive views, memes expand reach",,HIGH
SYN049,MM010,MM006,90,Clip channels + meme accounts + content + TikTok creativity + Shorts,2.2,"Stack: Clips drive views, memes expand reach",,HIGH
SYN050,MM010,MM037,90,Clip channels + meme accounts + content + TikTok creativity + Shorts,2.2,"Stack: Clips drive views, memes expand reach",,HIGH
SYN051,MM010,CF013,90,Clip channels + meme accounts + content + TikTok creativity + Shorts,2.2,"Stack: Clips drive views, memes expand reach",,HIGH
SYN052,MM011,CF004,70,Meme content + gaming personas + courses + swarm promo,1.5,"Stack: Gaming content promotes games, courses teach dev",,MEDIUM
SYN053,MM011,AI007,70,Meme content + gaming personas + courses + swarm promo,1.5,"Stack: Gaming content promotes games, courses teach dev",,MEDIUM
SYN054,MM011,MM002,70,Meme content + gaming personas + courses + swarm promo,1.5,"Stack: Gaming content promotes games, courses teach dev",,MEDIUM
SYN055,MM011,SWARM001,70,Meme content + gaming personas + courses + swarm promo,1.5,"Stack: Gaming content promotes games, courses teach dev",,MEDIUM
SYN056,CF001,CF002,95,Sleep content + ASMR + sleep apps + YouTube Shorts,2.2,Stack: Relax content -> ASMR crossover -> app affiliate,,HIGH
SYN057,CF001,AI004,95,Sleep content + ASMR + sleep apps + YouTube Shorts,2.2,Stack: Relax content -> ASMR crossover -> app affiliate,,HIGH
SYN058,CF001,MM001,95,Sleep content + ASMR + sleep apps + YouTube Shorts,2.2,Stack: Relax content -> ASMR crossover -> app affiliate,,HIGH
SYN059,CF001,CF013,95,Sleep content + ASMR + sleep apps + YouTube Shorts,2.2,Stack: Relax content -> ASMR crossover -> app affiliate,,HIGH
SYN060,CF002,CF001,95,Relax content + ASMR + productivity apps + Shorts,2.2,Stack: Sleep content -> app affiliate -> supplement affiliate,,HIGH
SYN061,CF002,AI004,95,Relax content + ASMR + productivity apps + Shorts,2.2,Stack: Sleep content -> app affiliate -> supplement affiliate,,HIGH
SYN062,CF002,MM001,95,Relax content + ASMR + productivity apps + Shorts,2.2,Stack: Sleep content -> app affiliate -> supplement affiliate,,HIGH
SYN063,CF002,CF013,95,Relax content + ASMR + productivity apps + Shorts,2.2,Stack: Sleep content -> app affiliate -> supplement affiliate,,HIGH
SYN064,CF003,CF008,85,Finance/tech news + affiliate sites + newsletter + crypto,2.0,"Stack: Breaking news builds following, newsletter monetizes",,MEDIUM
SYN065,CF003,CF009,85,Finance/tech news + affiliate sites + newsletter + crypto,2.0,"Stack: Breaking news builds following, newsletter monetizes",,MEDIUM
SYN066,CF003,MM003,85,Finance/tech news + affiliate sites + newsletter + crypto,2.0,"Stack: Breaking news builds following, newsletter monetizes",,MEDIUM
SYN067,CF003,MM015,85,Finance/tech news + affiliate sites + newsletter + crypto,2.0,"Stack: Breaking news builds following, newsletter monetizes",,MEDIUM
SYN068,CF003,CF011,85,Finance/tech news + affiliate sites + newsletter + crypto,2.0,"Stack: Breaking news builds following, newsletter monetizes",,MEDIUM
SYN069,CF004,CF006,80,Clips + sports + streamer content + swarm + Shorts,1.8,"Stack: Memes drive engagement, cross-promote other content",,MEDIUM
SYN070,CF004,CF010,80,Clips + sports + streamer content + swarm + Shorts,1.8,"Stack: Memes drive engagement, cross-promote other content",,MEDIUM
SYN071,CF004,MM010,80,Clips + sports + streamer content + swarm + Shorts,1.8,"Stack: Memes drive engagement, cross-promote other content",,MEDIUM
SYN072,CF004,SWARM001,80,Clips + sports + streamer content + swarm + Shorts,1.8,"Stack: Memes drive engagement, cross-promote other content",,MEDIUM
SYN073,CF004,CF013,80,Clips + sports + streamer content + swarm + Shorts,1.8,"Stack: Memes drive engagement, cross-promote other content",,MEDIUM
SYN074,CF005,AI006,75,Lifestyle personas + UGC + motivation + TikTok Shop,1.6,Stack: Fan page audience sells to other accounts,,MEDIUM
SYN075,CF005,MM008,75,Lifestyle personas + UGC + motivation + TikTok Shop,1.6,Stack: Fan page audience sells to other accounts,,MEDIUM
SYN076,CF005,CF007,75,Lifestyle personas + UGC + motivation + TikTok Shop,1.6,Stack: Fan page audience sells to other accounts,,MEDIUM
SYN077,CF005,MM016,75,Lifestyle personas + UGC + motivation + TikTok Shop,1.6,Stack: Fan page audience sells to other accounts,,MEDIUM
SYN078,CF006,MM010,90,Streamer clips + memes + gaming personas + Shorts + TikTok creativity,2.3,"Stack: Clips feed meme accounts, gaming personas",,HIGH
SYN079,CF006,CF004,90,Streamer clips + memes + gaming personas + Shorts + TikTok creativity,2.3,"Stack: Clips feed meme accounts, gaming personas",,HIGH
SYN080,CF006,AI007,90,Streamer clips + memes + gaming personas + Shorts + TikTok creativity,2.3,"Stack: Clips feed meme accounts, gaming personas",,HIGH
SYN081,CF006,CF013,90,Streamer clips + memes + gaming personas + Shorts + TikTok creativity,2.3,"Stack: Clips feed meme accounts, gaming personas",,HIGH
SYN082,CF006,MM037,90,Streamer clips + memes + gaming personas + Shorts + TikTok creativity,2.3,"Stack: Clips feed meme accounts, gaming personas",,HIGH
SYN083,CF007,AI001,90,Niche experts + courses + finance content + newsletter,2.1,Stack: Motivation content -> expert account -> course sale,,HIGH
SYN084,CF007,MM002,90,Niche experts + courses + finance content + newsletter,2.1,Stack: Motivation content -> expert account -> course sale,,HIGH
SYN085,CF007,CF008,90,Niche experts + courses + finance content + newsletter,2.1,Stack: Motivation content -> expert account -> course sale,,HIGH
SYN086,CF007,MM015,90,Niche experts + courses + finance content + newsletter,2.1,Stack: Motivation content -> expert account -> course sale,,HIGH
SYN087,CF008,MM003,85,Affiliate sites + news + finance expert + algo trading + crypto + stocks + newsletter,2.2,Stack: Finance content -> newsletter -> course/affiliate,,MEDIUM
SYN088,CF008,CF003,85,Affiliate sites + news + finance expert + algo trading + crypto + stocks + newsletter,2.2,Stack: Finance content -> newsletter -> course/affiliate,,MEDIUM
SYN089,CF008,AI001,85,Affiliate sites + news + finance expert + algo trading + crypto + stocks + newsletter,2.2,Stack: Finance content -> newsletter -> course/affiliate,,MEDIUM
SYN090,CF008,MM012,85,Affiliate sites + news + finance expert + algo trading + crypto + stocks + newsletter,2.2,Stack: Finance content -> newsletter -> course/affiliate,,MEDIUM
SYN091,CF008,CF011,85,Affiliate sites + news + finance expert + algo trading + crypto + stocks + newsletter,2.2,Stack: Finance content -> newsletter -> course/affiliate,,MEDIUM
SYN092,CF008,CF012,85,Affiliate sites + news + finance expert + algo trading + crypto + stocks + newsletter,2.2,Stack: Finance content -> newsletter -> course/affiliate,,MEDIUM
SYN093,CF008,MM015,85,Affiliate sites + news + finance expert + algo trading + crypto + stocks + newsletter,2.2,Stack: Finance content -> newsletter -> course/affiliate,,MEDIUM
SYN094,CF009,MM003,85,Affiliate + SaaS promo + tech expert + AI wrappers + micro-SaaS,2.0,"Stack: Tech content drives SaaS trials, course sales",,MEDIUM
SYN095,CF009,MM004,85,Affiliate + SaaS promo + tech expert + AI wrappers + micro-SaaS,2.0,"Stack: Tech content drives SaaS trials, course sales",,MEDIUM
SYN096,CF009,AI001,85,Affiliate + SaaS promo + tech expert + AI wrappers + micro-SaaS,2.0,"Stack: Tech content drives SaaS trials, course sales",,MEDIUM
SYN097,CF009,MM027,85,Affiliate + SaaS promo + tech expert + AI wrappers + micro-SaaS,2.0,"Stack: Tech content drives SaaS trials, course sales",,MEDIUM
SYN098,CF009,MM028,85,Affiliate + SaaS promo + tech expert + AI wrappers + micro-SaaS,2.0,"Stack: Tech content drives SaaS trials, course sales",,MEDIUM
SYN099,CF010,CF004,80,Memes + betting affiliate + sports personas + Shorts,1.9,Stack: Sports clips -> betting affiliate -> merch,,MEDIUM
SYN100,CF010,MM003,80,Memes + betting affiliate + sports personas + Shorts,1.9,Stack: Sports clips -> betting affiliate -> merch,,MEDIUM
SYN101,CF010,AI007,80,Memes + betting affiliate + sports personas + Shorts,1.9,Stack: Sports clips -> betting affiliate -> merch,,MEDIUM
SYN102,CF010,CF013,80,Memes + betting affiliate + sports personas + Shorts,1.9,Stack: Sports clips -> betting affiliate -> merch,,MEDIUM
SYN103,AI001,MM002,95,Courses + agency + outbound + newsletter + X launch,2.6,Stack: Expert persona sells everything else,,HIGH
SYN104,AI001,MM005,95,Courses + agency + outbound + newsletter + X launch,2.6,Stack: Expert persona sells everything else,,HIGH
SYN105,AI001,MM007,95,Courses + agency + outbound + newsletter + X launch,2.6,Stack: Expert persona sells everything else,,HIGH
SYN106,AI001,MM015,95,Courses + agency + outbound + newsletter + X launch,2.6,Stack: Expert persona sells everything else,,HIGH
SYN107,AI001,MM020,95,Courses + agency + outbound + newsletter + X launch,2.6,Stack: Expert persona sells everything else,,HIGH
SYN108,AI002,AI003,60,Adult + courses + lifestyle + paid community,1.4,"Stack: Specialized audience, high-ticket",,MEDIUM
SYN109,AI002,MM002,60,Adult + courses + lifestyle + paid community,1.4,"Stack: Specialized audience, high-ticket",,MEDIUM
SYN110,AI002,AI006,60,Adult + courses + lifestyle + paid community,1.4,"Stack: Specialized audience, high-ticket",,MEDIUM
SYN111,AI002,MM031,60,Adult + courses + lifestyle + paid community,1.4,"Stack: Specialized audience, high-ticket",,MEDIUM
SYN112,AI003,AI002,70,Findom + ASMR + lifestyle + paid community,1.5,Stack: Multiple revenue per subscriber,,MEDIUM
SYN113,AI003,AI004,70,Findom + ASMR + lifestyle + paid community,1.5,Stack: Multiple revenue per subscriber,,MEDIUM
SYN114,AI003,AI006,70,Findom + ASMR + lifestyle + paid community,1.5,Stack: Multiple revenue per subscriber,,MEDIUM
SYN115,AI003,MM031,70,Findom + ASMR + lifestyle + paid community,1.5,Stack: Multiple revenue per subscriber,,MEDIUM
SYN116,AI004,CF001,90,Relax channels + sleep + lifestyle + Shorts + paid community,2.2,"Stack: ASMR feeds relax channels, Patreon monetizes",,HIGH
SYN117,AI004,CF002,90,Relax channels + sleep + lifestyle + Shorts + paid community,2.2,"Stack: ASMR feeds relax channels, Patreon monetizes",,HIGH
SYN118,AI004,AI006,90,Relax channels + sleep + lifestyle + Shorts + paid community,2.2,"Stack: ASMR feeds relax channels, Patreon monetizes",,HIGH
SYN119,AI004,CF013,90,Relax channels + sleep + lifestyle + Shorts + paid community,2.2,"Stack: ASMR feeds relax channels, Patreon monetizes",,HIGH
SYN120,AI004,MM031,90,Relax channels + sleep + lifestyle + Shorts + paid community,2.2,"Stack: ASMR feeds relax channels, Patreon monetizes",,HIGH
SYN121,AI005,MM001,95,Fitness apps + courses + motivation + TikTok Shop + course platform,2.6,Stack: Fitness persona -> app promo -> program sale -> TikTok supplements,,HIGH
SYN122,AI005,MM002,95,Fitness apps + courses + motivation + TikTok Shop + course platform,2.6,Stack: Fitness persona -> app promo -> program sale -> TikTok supplements,,HIGH
SYN123,AI005,CF007,95,Fitness apps + courses + motivation + TikTok Shop + course platform,2.6,Stack: Fitness persona -> app promo -> program sale -> TikTok supplements,,HIGH
SYN124,AI005,MM016,95,Fitness apps + courses + motivation + TikTok Shop + course platform,2.6,Stack: Fitness persona -> app promo -> program sale -> TikTok supplements,,HIGH
SYN125,AI005,MM030,95,Fitness apps + courses + motivation + TikTok Shop + course platform,2.6,Stack: Fitness persona -> app promo -> program sale -> TikTok supplements,,HIGH
SYN126,AI006,MM008,80,UGC + women accounts + ASMR + TikTok Shop + POD,1.9,Stack: Lifestyle content -> brand partnerships -> TikTok Shop,,MEDIUM
SYN127,AI006,CF005,80,UGC + women accounts + ASMR + TikTok Shop + POD,1.9,Stack: Lifestyle content -> brand partnerships -> TikTok Shop,,MEDIUM
SYN128,AI006,AI004,80,UGC + women accounts + ASMR + TikTok Shop + POD,1.9,Stack: Lifestyle content -> brand partnerships -> TikTok Shop,,MEDIUM
SYN129,AI006,MM016,80,UGC + women accounts + ASMR + TikTok Shop + POD,1.9,Stack: Lifestyle content -> brand partnerships -> TikTok Shop,,MEDIUM
SYN130,AI006,MM024,80,UGC + women accounts + ASMR + TikTok Shop + POD,1.9,Stack: Lifestyle content -> brand partnerships -> TikTok Shop,,MEDIUM
SYN131,AI007,MM010,85,Clips + gaming clips + memes + Roblox + swarm,2.1,"Stack: Gaming persona promotes clips, earns sponsorships",,MEDIUM
SYN132,AI007,CF006,85,Clips + gaming clips + memes + Roblox + swarm,2.1,"Stack: Gaming persona promotes clips, earns sponsorships",,MEDIUM
SYN133,AI007,CF004,85,Clips + gaming clips + memes + Roblox + swarm,2.1,"Stack: Gaming persona promotes clips, earns sponsorships",,MEDIUM
SYN134,AI007,MM011,85,Clips + gaming clips + memes + Roblox + swarm,2.1,"Stack: Gaming persona promotes clips, earns sponsorships",,MEDIUM
SYN135,AI007,SWARM001,85,Clips + gaming clips + memes + Roblox + swarm,2.1,"Stack: Gaming persona promotes clips, earns sponsorships",,MEDIUM
SYN136,AI008,MM002,90,Courses + motivation + expert + course platform + community,2.3,Stack: Dating content -> course -> coaching -> community upsell,,HIGH
SYN137,AI008,CF007,90,Courses + motivation + expert + course platform + community,2.3,Stack: Dating content -> course -> coaching -> community upsell,,HIGH
SYN138,AI008,AI001,90,Courses + motivation + expert + course platform + community,2.3,Stack: Dating content -> course -> coaching -> community upsell,,HIGH
SYN139,AI008,MM030,90,Courses + motivation + expert + course platform + community,2.3,Stack: Dating content -> course -> coaching -> community upsell,,HIGH
SYN140,AI008,MM031,90,Courses + motivation + expert + course platform + community,2.3,Stack: Dating content -> course -> coaching -> community upsell,,HIGH
SYN141,MM012,MM002,85,Trading + info products + finance expert + crypto + stocks + newsletter,2.3,Stack: Trade profitably + sell education + finance content builds authority,,MEDIUM
SYN142,MM012,AI001,85,Trading + info products + finance expert + crypto + stocks + newsletter,2.3,Stack: Trade profitably + sell education + finance content builds authority,,MEDIUM
SYN143,MM012,CF008,85,Trading + info products + finance expert + crypto + stocks + newsletter,2.3,Stack: Trade profitably + sell education + finance content builds authority,,MEDIUM
SYN144,MM012,CF011,85,Trading + info products + finance expert + crypto + stocks + newsletter,2.3,Stack: Trade profitably + sell education + finance content builds authority,,MEDIUM
SYN145,MM012,CF012,85,Trading + info products + finance expert + crypto + stocks + newsletter,2.3,Stack: Trade profitably + sell education + finance content builds authority,,MEDIUM
SYN146,MM012,MM015,85,Trading + info products + finance expert + crypto + stocks + newsletter,2.3,Stack: Trade profitably + sell education + finance content builds authority,,MEDIUM
SYN147,MM013,MM001,80,Traffic to apps + courses + affiliate + TikTok Shop + dropship,2.0,Stack: Paid ads drive traffic to all monetization channels,,MEDIUM
SYN148,MM013,MM002,80,Traffic to apps + courses + affiliate + TikTok Shop + dropship,2.0,Stack: Paid ads drive traffic to all monetization channels,,MEDIUM
SYN149,MM013,MM003,80,Traffic to apps + courses + affiliate + TikTok Shop + dropship,2.0,Stack: Paid ads drive traffic to all monetization channels,,MEDIUM
SYN150,MM013,MM016,80,Traffic to apps + courses + affiliate + TikTok Shop + dropship,2.0,Stack: Paid ads drive traffic to all monetization channels,,MEDIUM
SYN151,MM013,MM022,80,Traffic to apps + courses + affiliate + TikTok Shop + dropship,2.0,Stack: Paid ads drive traffic to all monetization channels,,MEDIUM
SYN152,MM014,MM002,85,Courses + affiliate + expert + automation + faceless,2.2,"Stack: YouTube builds trust, course/affiliate monetizes",,MEDIUM
